Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
468,IShowSpeed,18300000,1556003039,Gaming,1324,United States,US,Games,140261000,35100,561000,420800,6700000,2016,Mar,21,88.2,37.09024,-95.712891
469,Good Mythical Morning,18300000,8798044678,Entertainment,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan
470,Bobby chourasiya,18200000,9937823152,People & Blogs,442,nan,nan,People,467848000,117000,1900000,1400000,22500000,2019,Jan,25,nan,nan,nan
471,INCRï¿½ï¿,18200000,3213324455,People & Blogs,6903,Brazil,BR,Howto,18045000,4500,72200,54100,866200,2017,Jun,20,51.3,-14.235004,-51.92528
472,Jake Fellman,18100000,13378360425,Entertainment,420,United States,US,Entertainment,497044000,124300,2000000,1500000,23900000,2012,Oct,13,88.2,37.09024,-95.712891
473,GEN HALILINTAR,18100000,3306242674,Entertainment,1037,Indonesia,ID,Entertainment,27312000,6800,109200,81900,1300000,2015,Mar,4,36.3,-0.789275,113.921327
474,SQUEEZIE,18100000,9983065083,Gaming,1521,France,FR,Entertainment,48099000,12000,192400,144300,2300000,2011,Jan,9,65.6,46.227638,2.213749
475,Blippi - Educational Videos for Kids,18100000,14857290259,Education,707,United States,US,Education,180412000,45100,721600,541200,8700000,2014,Jan,27,88.2,37.09024,-95.712891
476,officialpsy,18100000,10703830496,Music,131,South Korea,KR,Music,64989000,16200,260000,195000,3100000,2010,Oct,4,94.3,35.907757,127.766922
477,Ajay Sharma,18100000,12249828886,Entertainment,0,nan,nan,nan,nan,0,0,0,0,2009,Oct,24,nan,nan,nan
478,Manual do Mundo,18000000,3980991248,Howto & Style,2470,Brazil,BR,Tech,54766000,13700,219100,164300,2600000,2006,Jul,24,51.3,-14.235004,-51.92528
479,How Ridiculous,18000000,9601137077,Sports,650,Australia,AU,Sports,391298000,97800,1600000,1200000,18800000,2009,Sep,9,113.1,-25.274398,133.775136
480,And TV,18000000,15412333005,Entertainment,45,United States,US,Entertainment,4,0,0.02,0.01,0,2006,Aug,4,88.2,37.09024,-95.712891
481,Sebastiï¿½ï¿½ï¿½,18000000,10463166404,News & Politics,237,United States,US,Music,110776000,27700,443100,332300,5300000,2013,Mar,30,88.2,37.09024,-95.712891
482,SonyMusicSouthVEVO,18000000,17921124985,Music,5692,United States,US,Music,257597000,64400,1000000,772800,12400000,2014,Jul,14,88.2,37.09024,-95.712891
483,TheGrefg,18000000,6404852037,Gaming,3566,Spain,ES,Games,43830000,11000,175300,131500,2100000,2012,Jan,30,88.9,40.463667,-3.74922
484,BeatboxJCOP,18000000,8716982055,Film & Animation,748,nan,nan,Entertainment,1375000000,343800,5500000,4100000,66000000,2011,Mar,12,nan,nan,nan
485,David Dobrik,17900000,7176572299,People & Blogs,536,United States,US,People,8650000,2200,34600,26000,415200,2014,Dec,19,88.2,37.09024,-95.712891
486,KatieAngel,17900000,3841205465,People & Blogs,982,United States,US,Music,51687000,12900,206700,155100,2500000,2015,May,19,88.2,37.09024,-95.712891
487,RobleisIUTU,17900000,5168721499,Entertainment,1344,Argentina,AR,Games,27545000,6900,110200,82600,1300000,2013,Apr,15,90,-38.416097,-63.616672
488,Lele Pons,17900000,5244917119,Comedy,185,United States,US,Entertainment,18548000,4600,74200,55600,890300,2015,Sep,19,88.2,37.09024,-95.712891
489,Demi Lovato,17900000,6888074944,Music,314,United States,US,Music,29182000,7300,116700,87500,1400000,2008,Jan,30,88.2,37.09024,-95.712891
490,Like Nastya VNM,17900000,9867515979,Entertainment,602,Vietnam,VN,Entertainment,84467000,21100,337900,253400,4100000,2019,Nov,22,28.5,14.058324,108.277199
491,Jason Derulo,17900000,9887116267,Music,830,United States,US,Music,447891000,112000,1800000,1300000,21500000,2008,Jul,21,88.2,37.09024,-95.712891
492,MGC Playhouse,17900000,16174530046,Shows,1426,United States,US,Education,102621000,25700,410500,307900,4900000,2009,Feb,3,88.2,37.09024,-95.712891
493,Zuni and Family,17900000,6746269458,People & Blogs,2,nan,nan,People,4,0,0.02,0.01,0,2020,Jul,15,nan,nan,nan
494,Priyal Kukreja,17800000,11057945183,People & Blogs,772,India,IN,People,431390000,107800,1700000,1300000,20700000,2021,Apr,23,28.1,20.593684,78.96288
495,MSA previously My Story Animated,17800000,8588704539,Film & Animation,26,United States,US,People,20708,5,83,62,994,2021,Nov,9,88.2,37.09024,-95.712891
496,ýýýýýýýýý KIMPRO,17700000,19206701832,nan,1646,South Korea,KR,People,3404000000,850900,13600000,10200000,163400000,2017,Nov,11,94.3,35.907757,127.766922
497,Jane ASMR ï¿½ï¿½,17700000,7387621644,nan,1888,South Korea,KR,People,102803000,0,0,0,0,2012,Nov,17,94.3,35.907757,127.766922
498,ArianaGrandeVevo,17700000,20115544708,Music,178,United States,US,Music,97422000,24400,389700,292300,4700000,2010,Oct,21,88.2,37.09024,-95.712891
499,jaanvi patel,17700000,7912733203,People & Blogs,512,India,IN,People,346753000,86700,1400000,1000000,16600000,2018,Jul,18,28.1,20.593684,78.96288
500,tanboy kun,17700000,3647267655,People & Blogs,739,Indonesia,ID,Entertainment,48174000,12000,192700,144500,2300000,2016,Oct,27,36.3,-0.789275,113.921327
501,Lil Pump,17700000,4196061192,Music,60,nan,nan,Music,9243000,0,0,0,0,2015,Oct,15,nan,nan,nan
502,Porta dos Fundos,17700000,7739048000,Entertainment,2240,Brazil,BR,Entertainment,35337000,8800,141300,106000,1700000,2012,Mar,12,51.3,-14.235004,-51.92528
503,News 24,17700000,8396875537,News & Politics,211620,Ukraine,UA,News,370779000,92700,1500000,1100000,17800000,2006,Feb,5,82.7,48.379433,31.16558
504,Les' Copaque Production,17700000,9059696049,Film & Animation,1716,Malaysia,MY,Entertainment,117727000,29400,470900,353200,5700000,2009,Nov,9,45.1,4.210484,101.975766
505,El Payaso Plim Plim,17700000,17247584185,Film & Animation,1316,Argentina,AR,Music,640030000,160000,2600000,1900000,30700000,2013,Oct,18,90,-38.416097,-63.616672
